timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9979.0;13
0;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9964.0;6
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14007.0;9
100;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9979.0;15
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14008.0;8
200;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9978.0;15
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14008.0;9
300;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9978.0;12
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14008.0;8
400;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9978.0;12
400;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9972.0;8
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14008.0;10
500;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9978.0;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14008.0;9
600;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9978.0;4
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14008.0;11
2700;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;13998.0;8
2900;;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;14007.0;8
3600;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9977.0;3
3700;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9978.0;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9977.0;2
4300;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9977.0;2
4400;;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;14011.0;5
4500;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14012.0;11
4800;;;INTARIAN_PEPPER_ROOT;XIRECS;14009.0;3
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;13998.0;5
5700;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14001.0;5
9100;;;ASH_COATED_OSMIUM;XIRECS;9968.0;4
9600;;;ASH_COATED_OSMIUM;XIRECS;9962.0;6
10000;;;ASH_COATED_OSMIUM;XIRECS;9963.0;8
10700;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9972.0;5
10700;;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;14014.0;4
10800;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9979.0;5
12100;;;ASH_COATED_OSMIUM;XIRECS;9963.0;5
12600;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14008.0;3
13900;;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;14018.0;4
14000;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9978.0;3
14100;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9979.0;3
15100;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9979.0;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9979.0;8
15200;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9980.0;10
15500;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9974.0;10
15600;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9980.0;10
16300;;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;14020.0;5
17400;;;INTARIAN_PEPPER_ROOT;XIRECS;14013.0;3
18500;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9980.0;6
18600;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9981.0;6
23000;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14016.0;4
23100;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14018.0;4
23900;;;ASH_COATED_OSMIUM;XIRECS;9965.0;4
24300;;;ASH_COATED_OSMIUM;XIRECS;9965.0;4
24600;;;ASH_COATED_OSMIUM;XIRECS;9965.0;3
25100;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9974.0;8
25200;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9981.0;8
25500;SUBMISSION;;INTARIAN_PEPPER_ROOT;XIRECS;14021.0;2
26500;;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;14030.0;6
28000;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9975.0;4
28100;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9982.0;4
30400;;SUBMISSION;ASH_COATED_OSMIUM;XIRECS;9981.0;2
30400;;SUBMISSION;INTARIAN_PEPPER_ROOT;XIRECS;14037.0;6
30500;SUBMISSION;;ASH_COATED_OSMIUM;XIRECS;9982.0;2
